city,total_customer
London,2
Aurora,2
Sasebo,1
"San Bernardino",1
Athenai,1
Myingyan,1
Nantou,1
Laredo,1
Kragujevac,1
Hamilton,1
Masqat,1
Esfahan,1
Sagamihara,1
"Yamuna Nagar",1
Osmaniye,1
"Citrus Heights",1
Bhopal,1
Southend-on-Sea,1
Elista,1
Kaduna,1
Kimberley,1
Mardan,1
Tangail,1
Salé,1
Liepaja,1
Córdoba,1
Shikarpur,1
"Città del Vaticano",1
Davao,1
"Munger (Monghyr)",1
Shimonoseki,1
Lungtan,1
Kamarhati,1
Jhansi,1
Alessandria,1
Kurashiki,1
Toulouse,1
Arak,1
Nanyang,1
Chisinau,1
"Vila Velha",1
Nador,1
Yerevan,1
"Pak Kret",1
Faaa,1
Lipetsk,1
Antofagasta,1
Moscow,1
"Juazeiro do Norte",1
Niznekamsk,1
Jedda,1
Omdurman,1
Fontana,1
"A Coruña (La Coruña)",1
Nagareyama,1
Iwakuni,1
Balašiha,1
Papeete,1
Vaduz,1
Kuching,1
Mysore,1
Jaipur,1
Basel,1
"Saint Louis",1
Lincoln,1
Daxian,1
Cayenne,1
Malmö,1
Xi´angtan,1
Shivapuri,1
Béchar,1
al-Hawiya,1
Baybay,1
Taguig,1
Chiayi,1
"Rio Claro",1
Changhwa,1
Pavlodar,1
Araçatuba,1
"Rae Bareli",1
Kamakura,1
Ife,1
Mahajanga,1
Simferopol,1
Springs,1
Atlixco,1
Bradford,1
Songkhla,1
Sincelejo,1
Cheju,1
"La Plata",1
Meixian,1
"Bandar Seri Begawan",1
Goiânia,1
Zalantun,1
Bislig,1
Pathankot,1
"Augusta-Richmond County",1
Tete,1
al-Ayn,1
Kimchon,1
Jelets,1
Abha,1
Ashdod,1
Ilorin,1
Toulon,1
Funafuti,1
Ivanovo,1
Merlo,1
Huixquilucan,1
Klerksdorp,1
Enshi,1
Caracas,1
Lancaster,1
Cumaná,1
Duisburg,1
Nezahualcóyotl,1
Pemalang,1
Gandhinagar,1
"Grand Prairie",1
"Shubra al-Khayma",1
"Dos Quebradas",1
Etawah,1
Lima,1
"Varanasi (Benares)",1
Kütahya,1
Boksburg,1
Poá,1
Smolensk,1
Jastrzebie-Zdrój,1
Liaocheng,1
"Águas Lindas de Goiás",1
Mukatševe,1
Botshabelo,1
Torreón,1
Qalyub,1
Pune,1
Hubli-Dharwad,1
Apeldoorn,1
Hohhot,1
Touliu,1
Clarksville,1
Fukuyama,1
Dundee,1
Kilis,1
Molodetšno,1
Soshanguve,1
"Sterling Heights",1
Urawa,1
Saint-Denis,1
Brockton,1
Hidalgo,1
Laiwu,1
Nagaon,1
Jakarta,1
Yuncheng,1
Bern,1
Ondo,1
Pyongyang,1
Greensboro,1
Linz,1
Ljubertsy,1
"Tel Aviv-Jaffa",1
"Le Mans",1
Kakamigahara,1
Tarsus,1
Hami,1
Lilongwe,1
Chandrapur,1
Jinchang,1
Pingxiang,1
Udaipur,1
Ipoh,1
Batman,1
Graz,1
"Ocumare del Tuy",1
"Allappuzha (Alleppey)",1
Skikda,1
Matamoros,1
"Santa Brbara dOeste",1
Kirovo-Tšepetsk,1
Pereira,1
Memphis,1
Compton,1
Luziânia,1
´s-Hertogenbosch,1
"Shahr-e Kord",1
Haldia,1
Sumy,1
Bayugan,1
Oshawa,1
Tabora,1
Novotšerkassk,1
Firozabad,1
Kisumu,1
Hino,1
Siegen,1
Mannheim,1
Changzhou,1
Ikerre,1
Haiphong,1
Ashgabat,1
Witten,1
Bhusawal,1
Gorontalo,1
Usak,1
"Ciudad del Este",1
Blumenau,1
Nuuk,1
Balurghat,1
Bhilwara,1
Aden,1
Fuyu,1
Bellevue,1
Taizz,1
Sunnyvale,1
"Stara Zagora",1
"Aparecida de Goiânia",1
Sambhal,1
Kabul,1
"Vicente López",1
Zanzibar,1
Syrakusa,1
Jaroslavl,1
"Mandi Bahauddin",1
Jodhpur,1
Ambattur,1
Asunción,1
Saarbrücken,1
"Phnom Penh",1
Anápolis,1
Botosani,1
Uttarpara-Kotrung,1
Zaria,1
Idfu,1
"Jalib al-Shuyukh",1
Buenaventura,1
Tanza,1
Naju,1
Shimoga,1
Ciomas,1
Iwaki,1
Xi´angfan,1
Qinhuangdao,1
"San Miguel de Tucumán",1
Lapu-Lapu,1
Uijongbu,1
Maringá,1
"Coacalco de Berriozábal",1
Tallahassee,1
Tianjin,1
Oyo,1
Halle/Saale,1
Miyakonojo,1
"Poços de Caldas",1
Hagonoy,1
Monywa,1
Beira,1
"Santiago de los Caballeros",1
Halisahar,1
Datong,1
Tuguegarao,1
Portoviejo,1
