name,city,Total_location
Sports,Woodridge,181
Animation,Woodridge,174
Action,Lethbridge,169
Documentary,Woodridge,164
Sci-Fi,Woodridge,163
Sports,Lethbridge,163
Drama,Lethbridge,162
Animation,Lethbridge,161
Family,Lethbridge,157
Family,Woodridge,153
Foreign,Lethbridge,153
Sci-Fi,Lethbridge,149
Games,Woodridge,148
New,Lethbridge,148
Foreign,Woodridge,147
Action,Woodridge,143
Comedy,Lethbridge,142
Children,Woodridge,140
Classics,Woodridge,139
Drama,Woodridge,138
Horror,Woodridge,136
Classics,Lethbridge,131
Documentary,Lethbridge,130
Children,Lethbridge,129
Games,Lethbridge,128
Comedy,Woodridge,127
New,Woodridge,127
Music,Lethbridge,122
Travel,Woodridge,121
Travel,Lethbridge,114
Horror,Lethbridge,112
Music,Woodridge,110
